iteration,maxIt,threshold,trainPct,minInliers,bestModelCount,numPoints,n,d,noise,outlierRatio,outlierStrength,saltAndPepper,metric,variation,weighted_average,r2_regression,r2_orthogonal,mse_regression,mse_orthogonal,timeMs
41,100,0.1,0.2,100,1,500,2,1,0.3,0.3,2.5,1,0,1,0,-0.162604,0.0776841,1.11492,1.06059,115.537
41,100,0.1,0.2,100,1,500,2,1,0.3,0.3,2.5,1,0,2,0,-0.673455,-0.0572968,1.60482,1.21581,112.88
41,100,0.1,0.2,100,1,500,2,1,0.3,0.3,2.5,1,0,3,0,-0.12685,0.0908665,1.08063,1.04543,11.8409
42,100,0.1,0.2,100,1,500,2,1,0.3,0.3,2.5,1,1,1,0,0.618799,0.914198,0.149785,0.091004,112.196
42,100,0.1,0.2,100,1,500,2,1,0.3,0.3,2.5,1,1,2,0,-6.30959,0.549246,2.87215,0.478082,114.067
42,100,0.1,0.2,100,1,500,2,1,0.3,0.3,2.5,1,1,3,0,-0.910628,0.361302,0.750742,0.67742,16.3575
43,100,0.1,0.2,100,1,500,2,1,0.3,0.3,2.5,0,0,1,0,0.675682,0.92116,0.220629,0.089924,133.404
43,100,0.1,0.2,100,1,500,2,1,0.3,0.3,2.5,0,0,2,0,0.526232,0.892781,0.322297,0.122293,121.345
43,100,0.1,0.2,100,1,500,2,1,0.3,0.3,2.5,0,0,3,0,0.410063,0.703577,0.401325,0.338098,13.3748
44,100,0.1,0.2,100,1,500,2,1,0.3,0.3,2.5,0,1,1,0,-10.2014,0.5068,0.922816,0.558685,114.121
44,100,0.1,0.2,100,1,500,2,1,0.3,0.3,2.5,0,1,2,0,-35.4641,0.132711,3.00404,0.982443,114.887
44,100,0.1,0.2,100,1,500,2,1,0.3,0.3,2.5,0,1,3,0,-0.216314,0.911838,0.100204,0.0998677,9.32134
45,100,0.1,0.2,100,1,500,2,1,0.3,0.5,2.5,1,0,1,0,-111.757,-0.797325,34.0978,2.02817,108.995
45,100,0.1,0.2,100,1,500,2,1,0.3,0.5,2.5,1,0,2,0,-197.806,-0.553684,60.119,1.75324,108.123
45,100,0.1,0.2,100,1,500,2,1,0.3,0.5,2.5,1,0,3,0,-3.90409,-0.178154,1.483,1.32947,15.1252
46,100,0.1,0.2,100,1,500,2,1,0.3,0.5,2.5,1,1,1,0,0.611203,0.915015,0.256153,0.093967,104.591
46,100,0.1,0.2,100,1,500,2,1,0.3,0.5,2.5,1,1,2,0,0.655267,0.878462,0.227122,0.134382,102.38
46,100,0.1,0.2,100,1,500,2,1,0.3,0.5,2.5,1,1,3,0,-0.872139,0.114127,1.23343,0.979497,13.2617
47,100,0.1,0.2,100,1,500,2,1,0.3,0.5,2.5,0,0,1,0,-35.2773,-0.273514,3.19833,1.41505,114.738
