iteration,maxIt,threshold,trainPct,minInliers,bestModelCount,numPoints,n,d,noise,outlierRatio,outlierStrength,saltAndPepper,metric,mse,timeMs
204,50,0.01,0.2,50,500,1000,10,5,0.3,0.5,10,0,0,6.8582,105.213
205,50,0.01,0.2,50,500,1000,10,5,0.8,0,1,1,0,3.89109,85.7565
206,50,0.01,0.2,50,500,1000,10,5,0.8,0,1,0,0,3.75682,82.5271
207,50,0.01,0.2,50,500,1000,10,5,0.8,0,10,1,0,3.82074,84.4241
208,50,0.01,0.2,50,500,1000,10,5,0.8,0,10,0,0,3.68401,84.9461
209,50,0.01,0.2,50,500,1000,10,5,0.8,0.3,1,1,0,5.3755,86.6507
210,50,0.01,0.2,50,500,1000,10,5,0.8,0.3,1,0,0,3.99483,88.0162
211,50,0.01,0.2,50,500,1000,10,5,0.8,0.3,10,1,0,28.9014,98.4107
212,50,0.01,0.2,50,500,1000,10,5,0.8,0.3,10,0,0,16.8192,100.279
213,50,0.01,0.2,50,500,1000,10,5,0.8,0.5,1,1,0,5.21974,94.7234
214,50,0.01,0.2,50,500,1000,10,5,0.8,0.5,1,0,0,4.1905,90.6295
215,50,0.01,0.2,50,500,1000,10,5,0.8,0.5,10,1,0,10.0502,109.985
216,50,0.01,0.2,50,500,1000,10,5,0.8,0.5,10,0,0,6.31201,102.14
217,50,0.01,0.5,50,1,100,3,2,0.01,0,1,1,0,0.000114416,0.608259
218,50,0.01,0.5,50,1,100,3,2,0.01,0,1,0,0,0.000112677,0.628098
219,50,0.01,0.5,50,1,100,3,2,0.01,0,10,1,0,0.000107682,0.604318
220,50,0.01,0.5,50,1,100,3,2,0.01,0,10,0,0,8.59476e-05,0.609589
221,50,0.01,0.5,50,1,100,3,2,0.01,0.3,1,1,0,0.370562,0.360292
222,50,0.01,0.5,50,1,100,3,2,0.01,0.3,1,0,0,0.0987259,0.424218
223,50,0.01,0.5,50,1,100,3,2,0.01,0.3,10,1,0,26.9951,0.431948
224,50,0.01,0.5,50,1,100,3,2,0.01,0.3,10,0,0,7.66547,0.434367
225,50,0.01,0.5,50,1,100,3,2,0.01,0.5,1,1,0,0.489469,0.38429
226,50,0.01,0.5,50,1,100,3,2,0.01,0.5,1,0,0,0.149745,0.419568
227,50,0.01,0.5,50,1,100,3,2,0.01,0.5,10,1,0,1.47341,6.78554
228,50,0.01,0.5,50,1,100,3,2,0.01,0.5,10,0,0,1.19606,6.21667
229,50,0.01,0.5,50,1,100,3,2,0.3,0,1,1,0,0.115622,2.77965
230,50,0.01,0.5,50,1,100,3,2,0.3,0,1,0,0,0.0883361,2.12657
231,50,0.01,0.5,50,1,100,3,2,0.3,0,10,1,0,0.0951002,2.24288
232,50,0.01,0.5,50,1,100,3,2,0.3,0,10,0,0,0.0893341,2.11051
233,50,0.01,0.5,50,1,100,3,2,0.3,0.3,1,1,0,0.37422,4.50499
234,50,0.01,0.5,50,1,100,3,2,0.3,0.3,1,0,0,0.156316,3.38621
235,50,0.01,0.5,50,1,100,3,2,0.3,0.3,10,1,0,29.2319,4.71256
236,50,0.01,0.5,50,1,100,3,2,0.3,0.3,10,0,0,10.2176,4.48894
237,50,0.01,0.5,50,1,100,3,2,0.3,0.5,1,1,0,0.635839,5.25992
238,50,0.01,0.5,50,1,100,3,2,0.3,0.5,1,0,0,0.20573,3.56941
239,50,0.01,0.5,50,1,100,3,2,0.3,0.5,10,1,0,40.5899,5.43103
240,50,0.01,0.5,50,1,100,3,2,0.3,0.5,10,0,0,0.882538,5.75683
241,50,0.01,0.5,50,1,100,3,2,0.8,0,1,1,0,0.52379,5.31315
242,50,0.01,0.5,50,1,100,3,2,0.8,0,1,0,0,0.569398,4.22803
243,50,0.01,0.5,50,1,100,3,2,0.8,0,10,1,0,0.71655,5.58571
244,50,0.01,0.5,50,1,100,3,2,0.8,0,10,0,0,0.925346,5.7533
245,50,0.01,0.5,50,1,100,3,2,0.8,0.3,1,1,0,0.84192,6.18978
246,50,0.01,0.5,50,1,100,3,2,0.8,0.3,1,0,0,0.599974,5.63788
247,50,0.01,0.5,50,1,100,3,2,0.8,0.3,10,1,0,1.03138,6.05246
248,50,0.01,0.5,50,1,100,3,2,0.8,0.3,10,0,0,0.798732,5.57881
249,50,0.01,0.5,50,1,100,3,2,0.8,0.5,1,1,0,0.896534,5.6735
250,50,0.01,0.5,50,1,100,3,2,0.8,0.5,1,0,0,0.849719,6.05578
251,50,0.01,0.5,50,1,100,3,2,0.8,0.5,10,1,0,0.942459,6.36523
252,50,0.01,0.5,50,1,100,3,2,0.8,0.5,10,0,0,1.31467,6.57224
253,50,0.01,0.5,50,1,100,10,2,0.01,0,1,1,0,0.00103039,0.772659
254,50,0.01,0.5,50,1,100,10,2,0.01,0,1,0,0,0.00141542,0.847515
255,50,0.01,0.5,50,1,100,10,2,0.01,0,10,1,0,0.00160468,0.75963
256,50,0.01,0.5,50,1,100,10,2,0.01,0,10,0,0,0.00149084,0.783128
257,50,0.01,0.5,50,1,100,10,2,0.01,0.3,1,1,0,2.97072,12.2855
258,50,0.01,0.5,50,1,100,10,2,0.01,0.3,1,0,0,0.86552,10.4614
259,50,0.01,0.5,50,1,100,10,2,0.01,0.3,10,1,0,148.958,20.2034
260,50,0.01,0.5,50,1,100,10,2,0.01,0.3,10,0,0,57.9486,18.1387
261,50,0.01,0.5,50,1,100,10,2,0.01,0.5,1,1,0,3.37916,13.2698
262,50,0.01,0.5,50,1,100,10,2,0.01,0.5,1,0,0,1.39645,10.9672
263,50,0.01,0.5,50,1,100,10,2,0.01,0.5,10,1,0,233.795,21.7225
264,50,0.01,0.5,50,1,100,10,2,0.01,0.5,10,0,0,108.241,19.4029
265,50,0.01,0.5,50,1,100,10,2,0.3,0,1,1,0,1.15663,10.5088
266,50,0.01,0.5,50,1,100,10,2,0.3,0,1,0,0,1.37761,11.4204
267,50,0.01,0.5,50,1,100,10,2,0.3,0,10,1,0,0.935625,10.2891
268,50,0.01,0.5,50,1,100,10,2,0.3,0,10,0,0,0.928847,10.0585
269,50,0.01,0.5,50,1,100,10,2,0.3,0.3,1,1,0,3.54572,12.3228
270,50,0.01,0.5,50,1,100,10,2,0.3,0.3,1,0,0,1.93978,11.8427
271,50,0.01,0.5,50,1,100,10,2,0.3,0.3,10,1,0,168.022,21.7744
272,50,0.01,0.5,50,1,100,10,2,0.3,0.3,10,0,0,60.9588,18.4317
273,50,0.01,0.5,50,1,100,10,2,0.3,0.5,1,1,0,4.46322,13.7525
274,50,0.01,0.5,50,1,100,10,2,0.3,0.5,1,0,0,2.00971,12.2423
275,50,0.01,0.5,50,1,100,10,2,0.3,0.5,10,1,0,279.473,23.3542
276,50,0.01,0.5,50,1,100,10,2,0.3,0.5,10,0,0,101.928,20.3374
277,50,0.01,0.5,50,1,100,10,2,0.8,0,1,1,0,5.99224,13.8323
