iteration,maxIt,threshold,trainPct,minInliers,bestModelCount,numPoints,n,d,noise,outlierRatio,outlierStrength,saltAndPepper,metric,variation,weighted_average,r2_regression_inlier,r2_orthogonal_inlier,mse_regression_inlier,mse_orthogonal_inlier,r2_regression,r2_orthogonal,mse_regression,mse_orthogonal,timeMs
28,100,0.1,0.2,100,1,500,2,1,0.3,0,2.5,0,1,3,0,0.568288,0.920198,0.101149,0.0876384,0.568288,0.920198,0.101149,0.0876384,1.17827
29,100,0.1,0.2,100,1,500,2,1,0.3,0.3,2.5,1,0,1,0,-44609.9,-0.29246,4250.56,1.5168,-2115.91,0.508671,4207.03,1.50126,4.81405
29,100,0.1,0.2,100,1,500,2,1,0.3,0.3,2.5,1,0,2,0,-828.639,0.0100695,79.0486,1.16176,-39.2735,0.615028,80.0374,1.17629,5.58354
29,100,0.1,0.2,100,1,500,2,1,0.3,0.3,2.5,1,0,3,0,-0.000760338,0.918927,0.0953532,0.0951448,0.00018648,0.351129,1.98698,1.98263,1.64167
30,100,0.1,0.2,100,1,500,2,1,0.3,0.3,2.5,1,1,1,0,0.645042,0.909332,0.156299,0.095861,-1.0659,0.299841,3.57666,2.19363,8.11468
30,100,0.1,0.2,100,1,500,2,1,0.3,0.3,2.5,1,1,2,0,-145.285,0.204238,64.4138,0.841342,-81.3482,0.405641,142.568,1.86215,6.02463
30,100,0.1,0.2,100,1,500,2,1,0.3,0.3,2.5,1,1,3,0,-1.01672,0.279326,0.888027,0.761953,0.150569,0.597254,1.47061,1.26182,2.06715
31,100,0.1,0.2,100,1,500,2,1,0.3,0.3,2.5,0,0,1,0,0.457759,0.889169,0.183174,0.118049,-0.466521,0.560854,1.20656,0.777585,8.39427
31,100,0.1,0.2,100,1,500,2,1,0.3,0.3,2.5,0,0,2,0,0.656626,0.921499,0.115995,0.0836128,-0.273458,0.573478,1.04772,0.755231,8.05137
31,100,0.1,0.2,100,1,500,2,1,0.3,0.3,2.5,0,0,3,0,0.459669,0.83837,0.182529,0.172156,-0.0014974,0.561104,0.823969,0.777143,1.49218
32,100,0.1,0.2,100,1,500,2,1,0.3,0.3,2.5,0,1,1,0,-0.835094,0.780229,0.240387,0.232122,-0.0760229,0.503879,0.953778,0.920985,7.51659
32,100,0.1,0.2,100,1,500,2,1,0.3,0.3,2.5,0,1,2,0,-0.587121,0.806796,0.207904,0.204062,-0.0521613,0.506893,0.932627,0.915391,7.54767
32,100,0.1,0.2,100,1,500,2,1,0.3,0.3,2.5,0,1,3,0,0.259395,0.90936,0.0970152,0.0957341,0.00747231,0.53234,0.879768,0.868151,1.95183
33,100,0.1,0.2,100,1,500,2,1,0.3,0.5,2.5,1,0,1,0,-6.39347,0.0912935,2.78704,0.921321,-0.207499,0.772328,3.0241,0.999686,6.86791
33,100,0.1,0.2,100,1,500,2,1,0.3,0.5,2.5,1,0,2,0,-4.93478,-0.0401583,2.23717,1.0546,0.0236992,0.737502,2.44508,1.1526,7.31055
33,100,0.1,0.2,100,1,500,2,1,0.3,0.5,2.5,1,0,3,0,-2.01573,0.202164,1.13681,0.808911,0.282856,0.708945,1.79604,1.278,2.11114
34,100,0.1,0.2,100,1,500,2,1,0.3,0.5,2.5,1,1,1,0,-1107.17,-0.340022,123.92,1.51346,-39.3134,0.623047,130.681,1.59603,5.73293
